,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,leona vicario,23,LY,1579664702,49,26.59,12.78,283.61,6.87
1,leona vicario,40,MN,1579664468,77,47.91,106.88,254.15,1.0
2,leona vicario,100,RU,1579664702,97,66.77,123.37,240.14,3.36
3,leona vicario,40,AR,1579664328,81,-54.8,-68.3,280.15,10.3
4,leona vicario,100,CD,1579664622,80,-2.95,25.95,295.03,0.42
5,leona vicario,98,EC,1579664658,79,-2.23,-80.9,298.34,3.61
6,leona vicario,11,GH,1579664703,74,5.79,0.9,299.71,2.03
7,leona vicario,71,NZ,1579664703,49,-46.6,168.33,296.83,3.1
8,leona vicario,75,MU,1579664703,94,-20.52,57.52,298.71,1.0
9,leona vicario,90,PG,1579664703,78,-3.14,142.35,301.24,7.43
10,leona vicario,25,PW,1579664703,77,7.04,134.26,300.85,8.11
11,leona vicario,94,AU,1579664517,34,-33.65,115.33,297.59,6.6
12,leona vicario,16,KE,1579664623,29,2.33,37.99,299.41,4.51
13,leona vicario,61,LR,1579664704,95,4.38,-7.72,297.63,0.79
14,leona vicario,100,RU,1579664623,95,62.67,135.6,245.22,0.46
15,leona vicario,90,US,1579664704,79,42.1,-79.24,268.15,4.1
16,leona vicario,100,AO,1579664704,95,-11.21,13.84,297.91,1.13
17,leona vicario,100,RU,1579664704,98,71.97,102.5,241.56,2.57
18,leona vicario,20,CA,1579664113,72,47.67,-52.73,262.59,2.6
19,leona vicario,0,CA,1579664217,77,51.23,-58.65,258.51,5.23
20,leona vicario,72,US,1579664345,78,57.79,-152.41,271.27,2.42
21,leona vicario,20,CA,1579664204,68,65.28,-126.83,245.15,2.1
22,leona vicario,100,BR,1579664624,86,-1.8,-53.48,297.77,1.59
23,leona vicario,46,EG,1579664378,55,31.26,32.28,287.57,5.75
24,leona vicario,11,PF,1579664201,78,-23.12,-134.97,299.17,5.55
25,leona vicario,100,CA,1579664348,97,60.75,-137.51,261.29,0.75
26,leona vicario,90,RU,1579664238,78,64.38,-173.3,261.15,1.0
27,leona vicario,20,GF,1579664216,88,4.93,-52.33,297.15,1.5
28,leona vicario,0,SD,1579664388,46,14.2,24.67,278.69,1.94
29,leona vicario,25,KI,1579664625,62,3.07,172.79,302.53,1.92
30,leona vicario,100,GL,1579664254,96,60.92,-46.05,266.95,3.56
31,leona vicario,0,CL,1579664024,77,-45.58,-72.07,288.15,1.0
32,leona vicario,0,AU,1579664020,53,-24.87,113.63,298.15,10.8
33,leona vicario,40,PT,1579664250,76,33.08,-16.33,287.15,6.7
34,leona vicario,70,NZ,1579664626,49,-46.19,168.86,298.68,1.68
35,leona vicario,90,US,1579664015,72,42.6,-73.97,267.59,1.77
36,leona vicario,84,TL,1579664348,53,-8.93,125.41,301.45,1.87
37,leona vicario,88,NZ,1579664626,65,-35.1,173.78,299.82,0.45
38,leona vicario,92,AR,1579664626,44,-34.62,-68.33,299.08,8.27
39,leona vicario,0,OM,1579664230,76,22.57,59.53,291.01,1.32
40,leona vicario,0,SE,1579664626,74,65.32,21.48,273.15,5.1
41,leona vicario,30,ZA,1579664363,82,-33.01,17.94,292.15,2.6
42,leona vicario,20,US,1579664626,84,60.55,-151.26,265.37,2.44
43,leona vicario,100,NZ,1579664626,79,-42.72,170.97,290.6,2.98
44,leona vicario,20,AU,1579664214,41,-28.77,114.6,298.15,10.8
45,leona vicario,40,MA,1579664428,87,31.63,-8.01,281.15,2.1
46,leona vicario,0,PT,1579664392,70,41.54,-8.62,283.71,2.1
47,leona vicario,100,AU,1579664331,31,-42.88,147.33,302.59,7.7
48,leona vicario,100,RU,1579664207,98,68.75,161.3,243.97,3.16
49,leona vicario,100,AU,1579664202,31,-42.78,147.06,302.59,7.7
50,leona vicario,70,CN,1579664627,83,42.19,127.48,269.87,3.15
51,leona vicario,100,IN,1579664627,86,34.03,75.33,257.44,2.69
52,leona vicario,92,ZA,1579664204,88,-34.42,19.23,292.04,1.34
53,leona vicario,0,GL,1579664210,48,77.48,-69.36,247.22,2.57
54,leona vicario,90,US,1579664210,61,37.1,-113.58,282.15,1.5
55,leona vicario,0,SD,1579664394,38,13.6,26.69,284.48,6.41
56,leona vicario,90,ZA,1579664235,100,-33.92,25.57,292.15,3.1
57,leona vicario,0,SE,1579664628,73,67.86,20.23,270.15,3.1
58,leona vicario,0,NC,1579664344,73,-20.23,164.02,298.97,7.38
59,leona vicario,100,EG,1579664628,69,31.35,27.25,287.1,10.91
60,leona vicario,76,NZ,1579664343,77,-45.42,167.72,289.31,2.51
61,leona vicario,18,SO,1579664629,83,9.56,44.06,285.91,5.76
62,leona vicario,99,TC,1579664255,75,21.46,-71.14,298.39,3.18
63,leona vicario,100,MX,1579664629,85,30.72,-109.58,281.31,1.72
64,leona vicario,90,ES,1579664629,71,43.52,-8.15,284.82,5.7
65,leona vicario,100,ZA,1579664076,97,-34.0,24.73,290.8,6.63
66,leona vicario,40,SJ,1579664237,60,78.22,15.64,259.15,5.1
67,leona vicario,1,US,1579664464,54,36.85,-75.98,274.26,2.1
68,leona vicario,100,BR,1579664214,77,-30.18,-50.21,296.97,10.96
69,leona vicario,100,IS,1579664376,93,64.25,-15.21,280.39,5.81
70,leona vicario,83,RU,1579664212,75,50.68,156.12,265.72,4.58
71,leona vicario,86,JP,1579664631,80,41.82,140.65,272.63,4.98
72,leona vicario,42,AI,1579664333,73,18.22,-63.06,298.15,3.1
73,leona vicario,15,CL,1579664631,93,-25.4,-70.48,288.89,0.81
74,leona vicario,29,ZA,1579664204,91,-33.59,26.89,293.27,4.82
75,leona vicario,2,NA,1579664631,50,-18.06,13.84,293.03,1.25
76,leona vicario,42,PG,1579664631,75,-2.02,147.27,301.92,6.85
77,leona vicario,0,IN,1579664331,51,22.24,68.97,293.95,8.26
78,leona vicario,15,RU,1579664205,95,71.92,114.08,236.82,2.95
79,leona vicario,100,RU,1579664216,86,73.51,80.55,248.55,5.08
80,leona vicario,77,US,1579664632,77,22.08,-159.32,295.93,2.03
81,leona vicario,28,GF,1579664632,94,5.66,-53.78,294.72,1.09
82,leona vicario,100,US,1579664632,76,40.74,-114.07,274.88,0.26
83,leona vicario,0,AR,1579664632,65,-33.13,-64.35,294.36,1.65
84,leona vicario,40,CL,1579664201,62,-53.15,-70.92,284.15,5.7
85,leona vicario,100,RU,1579664632,84,51.95,85.33,264.36,1.49
86,leona vicario,100,NO,1579664633,78,69.8,20.93,272.36,10.89
87,leona vicario,21,US,1579663986,71,19.73,-155.09,297.04,4.92
88,leona vicario,0,ID,1579664376,57,-3.8,102.27,305.0,0.17
89,leona vicario,80,ZW,1579664633,94,-20.19,32.62,287.17,1.84
90,leona vicario,0,MX,1579664633,77,15.74,-96.47,300.25,5.82
91,leona vicario,98,ID,1579664633,90,-0.87,134.08,298.14,4.88
92,leona vicario,0,NC,1579664232,73,-22.67,167.48,298.53,6.91
93,leona vicario,1,US,1579664231,85,39.18,-84.53,268.71,1.08
94,leona vicario,0,MR,1579664354,67,20.93,-17.03,289.15,6.2
95,leona vicario,100,RE,1579663996,100,-21.36,55.77,298.15,5.1
